k,v
CHI,Child/Youth Care
LAND,Land
LANU,Land Undeveloped
LEAR,Learning Centre
OFF,Offices
RES,Residential
ROAR,Road Reserve
SCHC,School College
SCHO,School Other
SCHP,School Primary
SCHR,School Remedial
SCHS,School Secondary
SCHT,School Technical
SCP,School Special
TERT,Tertiary Institution
ARC,Archives
COM,Community Centre
FARM,Farm
GOV,Government Garage
GRA,Grave
HOSP,Hospital - Private
LIB,Library
MULT,Multi-Purpose
MUS,Museum
NAT,Nature Reserve
PARK,Parking
POF,Post Office
POL,Police Station
POS,Place Of Safety
PROP,Proposed
PUB,Public Open Space
ROA,Roads
RVR,Reservoir
STA,Stadium
STO,Stores
THEA,Theatre
TRAF,Traffic Centre
TRAI,Training Facility
TREA,Treatment Centre
UNK,Unknown Structure
UNU,Unutilized
WORK,Workshop
AMB,Ambulance Station
CAMB,CDC & Ambulance Station
CLI,Clinic
COMD,Community Day Centre
COMH,Community Health Centre
EMS,Emergency Medical Service Centre
FOR,Forensic Pathology
HEA,Health Facility
HOS,Hospital
IPS,Intermediate Psychiatric Care
LAU,Laundry
NUR,Nurses Hostel
TAR,Training And Rehabilitation Centre